Employee_ID,Gender,Department,Education_Level,Job_Level,Age,Years_Experience,Training_Hours,Monthly_Salary,Performance_Score,Attendance_Rate,Project_Completed,Promotion_Last_3Y,Join_Date,Last_Review_Date,City,Contract_Type,Division,Work_From_Home_Days,Employee_Rating
2019,Male,Operations,Bachelor,Officer,40.81,4,514,537724496,345,93,16,2,2018-01-22 00:00:00,2024-07-30T00:00:00,Bandung,Kontrak,Business,1,3.5
615,Male,Unknown,Bachelor,Senior Manager,18,24,195,27805198.80,633.48,74,11,0,21-Apr-2019,19/09/2023 00:00,Jakarta,Contract,Tech,99,2.7
1643,Male,Hr,Master,Junior,29,12,454,28407684,838,81,4,0.44,2016-05-03 00:00:00,2024-06-21 00:00:00,Makassar,Tetap,Tech,1,2.63
172,Male,Marketing,Master,Officer,32,11,63,15402711,689,1045,6,0,2015-08-27T00:00:00,09-21-2022,Dki Jakarta,Internship,Business,3,2.63
438,Male,Risk,Master,Supervisor,30,4,191,20403915,691,958,9,0,08-Apr-2018,17/05/2024 00:00,Bandung,Contract,Support,-1,6
868,Female,Hr,Bachelor,Manager,39,14,461,22066674,123,69,0,0.44,04-27-2021,08-20-2023,Bandung,Contract,Tech,2,2
1602,Male,Operations,Doctoral,Supervisor,37,24,397,21570566,1036,92,13,0,2021/05/30,2023-04-05 00:00:00,Jakarta,Contract,Tech,0,5
25,Male,Compliance,Bachelor,Officer,47,4,109,13442061,1011,968,6,1,22/04/2017 00:00,10-Oct-2023,Makassar,Contract,Tech,0,2
1717,Female,Finance,Diploma,Officer,60,17,376,23188439,0,61,2,0.44,2015-10-19T00:00:00,2024-06-05T00:00:00,Dki Jakarta,Kontrak,Business,11.92,3
81,Female,Hr,Phd,Junior,32,12,74,16590157,836,965,5,0,03-May-2022,29/10/2023 00:00,Medan,Permanent,Tech,2,3.5
1422,Female,Risk,Master,Senior Manager,43,-1,657,5577964,162,88,0,-1,2021/11/11,2023-02-26 00:00:00,Sby,Permanent,Business,4,0
450,Female,Finance,Master,Junior,36,20,425,13263414,1055,964,6,0,2020-12-30T00:00:00,2023/06/24,Makassar,Kontrak,Support,0,3
1223,Female,Compliance,Bachelor,Officer,54,22,745,538203073,1060,62,8,0,2016/02/29,01-22-2022,Bandung,Contract,Tech,0,2.63
357,Female,Hr,Diploma,Supervisor,29,1,163,18648042,721,981,3,0,03-22-2017,09-03-2022,Medan,Contract,Business,11.92,2.7
105,Male,Hr,Bachelor,Supervisor,38,5,143,11690555,731,906,7,0,04/05/2020 00:00,05-Jun-2022,Sby,Internship,Business,1,-1
404,Female,Finance,Diploma,Junior,22,7,206,11646724,955,955,4,0,2022-09-15T00:00:00,12-Feb-2022,Jakarta,Contract,Tech,0,2
2037,Male,Marketing,Bachelor,Senior Manager,49,16,457,18153981,1026,100,15,0.44,2019/12/05,2022/04/24,Medan,Contract,Business,99,5
1051,Female,Marketing,Phd,Supervisor,51,16,500,26031609,243,67,6,0.44,03-Mar-2021,2022-06-17T00:00:00,Makassar,Tetap,Tech,-1,6
1797,Male,Finance,Diploma,Senior Manager,54,4,15,22426387,934,69,20,0,24/10/2017 00:00,2024-12-18T00:00:00,Makassar,Internship,Tech,99,5
2001,Male,Risk,Bachelor,Officer,36,26,354,19825074,872,71,7,1,2022/11/30,2023-02-08 00:00:00,Bandung,Contract,Tech,5,2
634,Male,Hr,Diploma,Supervisor,41,26,235,14080504,1036,90,5,2,02/04/2015 00:00,30/03/2022 00:00,Bandung,Contract,Business,11.92,2
1301,Male,Operations,Master,Senior Manager,51,2,168,26208105,419,71,9,0.44,2018/02/13,11-May-2023,Bandung,Contract,People,1,6
1286,Male,It,Bachelor,Manager,39,19,50000,25199673,1001,77,1,-1,15/10/2021 00:00,2022/08/09,Dki Jakarta,Contract,Business,4,1
1907,Female,It,Bachelor,Supervisor,44,28,330,6263778,480,78,999,2,2023-06-27T00:00:00,2023-08-16 00:00:00,Medan,Contract,Business,11.92,2.7
1137,Female,Hr,Bachelor,Officer,55,18,100,11710641,143,98,7,0,09-20-2016,2023/08/23,Sby,Contract,Tech,0,1
1263,Male,Risk,Bachelor,Supervisor,47,20,17,22785390,302,69,0,-1,2019-05-23T00:00:00,2022/03/15,Bandung,Permanent,Business,0,2
347,Male,Marketing,Master,Supervisor,53,11,154,24293154,545,993,4,0,04-14-2019,24-Nov-2023,Surabaya,Tetap,Operations,11.92,4
881,Male,Finance,Diploma,Senior Manager,57,5,178,8079486,421,67,0,0.44,2019-07-12T00:00:00,02-04-2024,Jakarta,Contract,Tech,11.92,2
1783,Male,Finance,Phd,Senior Manager,25,1,572,15619222,935,72,8,0,2019-04-24T00:00:00,19/12/2024 00:00,Bandung,Contract,Business,4,2.63
1404,Female,Compliance,Bachelor,Manager,40.81,28,672,11881765,1064,68,13.10,0.44,17/02/2021 00:00,2024/11/24,Surabaya,Internship,Finance,2,6
1885,Male,Finance,Bachelor,Supervisor,18,7,5,11030692,248,85,13.10,0,2021/06/20,2023/12/13,Surabaya,Contract,Tech,-1,-1
1506,Female,Unknown,Phd,Junior,57,22,260,22392109,831,67,18,-1,14/06/2021 00:00,03-08-2023,Jakarta,Contract,Tech,99,5
1270,Male,Marketing,Diploma,Senior Manager,26,21,487,17199511,391,76,5,0,10-05-2020,2024-12-12 00:00:00,Dki Jakarta,Kontrak,Business,11.92,3
569,Female,Operations,Master,Officer,29,15,254,27805198.80,964,81,18,0.44,05-01-2022,2023-04-29 00:00:00,Jakarta,Kontrak,Finance,-1,4
1570,Male,Finance,Doctoral,Junior,23,9,574,10645649,531,94,0,-1,24/04/2023 00:00,2023/07/03,Surabaya,Permanent,Tech,1,3.5
1276,Female,Hr,Bachelor,Senior Manager,18,17,173,10920386,453,64,12,2,2017/06/29,19/01/2022 00:00,Medan,Contract,Tech,4,-1
785,Male,Finance,Diploma,Senior Manager,28,17,40,12319961,603,63,7,1,2020-12-29 00:00:00,2022-01-03T00:00:00,Bandung,Contract,Tech,0,3.5
114,Male,Hr,Bachelor,Junior,23,13,56,8315020,699,892,6,1,2017-01-24 00:00:00,03-12-2022,Surabaya,Permanent,Tech,-1,2.7
745,Female,Risk,Bachelor,Junior,32,6,752,14123801,819,71,0,0,2019-01-05 00:00:00,24/08/2022 00:00,Medan,Contract,Tech,1,3
