Employee_ID	Gender	Department	Education_Level	Job_Level	Age	Years_Experience	Training_Hours	Monthly_Salary	Performance_Score	Attendance_Rate	Project_Completed	Promotion_Last_3Y	Join_Date	Last_Review_Date	City	Contract_Type	Division	Work_From_Home_Days	Employee_Rating
1160	m	Compliance	S3	Officer	26.0	5.0	486.0	24554463.0	216.0	92.0	20.0		12-Jun-2017	2023-11-06T00:00:00	Sby	Tetap	business	1.0	2.0
1824	m	FINANCE	S2	SR MANAGER	60.0	7.0	554.0	16802963.0	405.0	79.0	2.0	-1.0	04/12/2021 00:00	10-Nov-2024	Semarang	contract	People	2.0	5.0
979	f	MARKETING	MASTER	SR MANAGER	41.0	24.0	243.0	16270662.0	144.0	66.0	4.0	0.0	22/06/2015 00:00	24-Apr-2022	Makassar	Contract	Tech	0.0	1.0
760	Perempuan	Operations	bachelor		23.0	29.0	550.0	27382268.0	829.0	89.0	17.0	0.0	26/09/2018 00:00	19/08/2024 00:00	Medan		People	4.0	0.0
875	female	Risk 	Master	Supervisor	48.0	18.0	47.0	16088342.0	1047.0	98.0	1.0		04-Feb-2018	2024/01/27	Surabaya	Contract		0.0	3.5
110	MALE	Risk	Bachelor	Supervisor	47.0	5.0		12158243.0	734.0	866.0	5.0	0.0	2017/02/06	04-07-2024	Semarang	Contract	Tech 	0.0	3.5
1178	Perempuan	MARKETING	Bachelor	manager	45.0	16.0	619.0	4428080.0	134.0	67.0	19.0		2017-06-29 00:00:00	08/07/2022 00:00	Bandung	Kontrak	People	2.0	6.0
260	Female	Marketing	Diploma	Supervisor	37.0	-2.0	48.0	11040007.0	736.0	948.0	8.0	0.0	19-Mar-2015	25-Sep-2022	Medan	Tetap		1.0	3.0
2076	female	Compliance				29.0	430.0	13377616.0	82.0	79.0	10.0	0.0	08-29-2016	10-Jul-2024	Medan 	Permanent	business	0.0	-1.0
480	Female	Hr	Bachelor	Supervisor	46.0	10.0	108.0	9651443.0	718.0	837.0	4.0	1.0	2023/03/19	02/09/2023 00:00	Medan 	Kontrak			1.0
