date;open;high;low;close
2020-01-01;130.0;295.0;62;182
2020-01-02;139.0;213.0;52;249
2020-01-03;141.0;228.0;91;105
2020-01-04;194.0;215.0;72;123
2020-01-05;133.0;279.0;83;113
2020-01-06;116.0;283.0;68;202
2020-01-07;147.0;263.0;73;177
2020-01-08;136.0;257.0;71;165
2020-01-09;163.0;252.0;79;234
2020-01-10;166.0;222.0;64;170
2020-01-11;145.0;260.0;60;225
2020-01-12;128.0;233.0;61;123
2020-01-13;170.0;238.0;80;150
2020-01-14;154.0;281.0;77;179
2020-01-15;131.0;288.0;98;227
2020-01-16;102.0;221.0;87;106
2020-01-17;102.0;264.0;62;166
2020-01-18;190.0;260.0;59;162
2020-01-19;163.0;294.0;59;216
2020-01-20;183.0;250.0;63;160
2020-01-21;141.0;240.0;87;148
2020-01-22;112.0;295.0;83;126
2020-01-23;198.0;294.0;64;211
2020-01-24;172.0;276.0;83;249
2020-01-25;166.0;293.0;60;215
2020-01-26;106.0;271.0;54;206
2020-01-27;106.0;233.0;70;183
2020-01-28;192.0;275.0;53;243
2020-01-29;184.0;299.0;90;134
2020-01-30;111.0;294.0;74;211
2020-01-31;155.0;276.0;81;140
2020-02-01;135.0;225.0;91;174
2020-02-02;163.0;277.0;85;118
2020-02-03;185.0;203.0;61;191
2020-02-04;163.0;262.0;69;163
2020-02-05;120.0;228.0;99;125
2020-02-06;139.0;215.0;74;216
2020-02-07;192.0;291.0;99;122
2020-02-08;106.0;274.0;77;209
2020-02-09;166.0;269.0;80;172
2020-02-10;149.0;261.0;79;245
2020-02-11;147.0;215.0;98;130
2020-02-12;102.0;253.0;79;180
2020-02-13;112.0;233.0;69;215
2020-02-14;144.0;299.0;72;163
2020-02-15;165.0;260.0;75;144
2020-02-16;116.0;285.0;60;147
2020-02-17;158.0;216.0;85;113
2020-02-18;189.0;229.0;68;231
2020-02-19;142.0;259.0;53;187
2020-02-20;171.0;297.0;69;168
2020-02-21;140.0;207.0;88;183
2020-02-22;107.0;211.0;88;103
2020-02-23;158.0;272.0;96;139
2020-02-24;107.0;211.0;97;112
2020-02-25;141.0;230.0;78;119
2020-02-26;129.0;265.0;77;233
2020-02-27;168.0;242.0;60;194
2020-02-28;103.0;275.0;96;106
2020-02-29;143.0;201.0;56;211
2020-03-01;110.0;264.0;99;203
2020-03-02;197.0;264.0;60;128
2020-03-03;169.0;226.0;94;148
2020-03-04;155.0;268.0;60;211
2020-03-05;188.0;243.0;86;147
2020-03-06;114.0;287.0;93;198
2020-03-07;;276.0;86;164
2020-03-08;196.0;272.0;56;216
2020-03-09;147.0;252.0;97;178
2020-03-10;198.0;267.0;98;109
2020-03-11;185.0;214.0;82;195
2020-03-12;199.0;242.0;88;244
2020-03-13;115.0;236.0;71;217
2020-03-14;130.0;207.0;86;198
2020-03-15;178.0;280.0;99;116
2020-03-16;134.0;264.0;80;138
2020-03-17;171.0;233.0;63;235
2020-03-18;100.0;202.0;52;231
2020-03-19;162.0;;83;106
2020-03-20;188.0;265.0;85;187
2020-03-21;126.0;280.0;90;223
2020-03-22;170.0;207.0;69;124
2020-03-23;109.0;291.0;86;243
2020-03-24;128.0;205.0;56;227
2020-03-25;117.0;291.0;88;183
2020-03-26;118.0;256.0;91;208
2020-03-27;148.0;286.0;64;107
2020-03-28;188.0;292.0;66;142
2020-03-29;110.0;287.0;91;118
2020-03-30;135.0;272.0;80;181
2020-03-31;104.0;210.0;75;220
2020-04-01;156.0;270.0;57;159
2020-04-02;163.0;252.0;90;159
2020-04-03;115.0;279.0;56;101
2020-04-04;123.0;298.0;71;123
2020-04-05;117.0;246.0;72;171
2020-04-06;106.0;227.0;86;168
2020-04-07;138.0;272.0;52;135
2020-04-08;130.0;224.0;50;124
2020-04-09;125.0;247.0;80;123
2020-04-10;184.0;270.0;68;202
2020-04-11;122.0;294.0;53;113
2020-04-12;126.0;273.0;88;156
2020-04-13;140.0;271.0;76;133
2020-04-14;186.0;251.0;80;148
2020-04-15;120.0;230.0;68;213
2020-04-16;159.0;285.0;60;222
2020-04-17;194.0;236.0;66;153
2020-04-18;183.0;221.0;95;223
2020-04-19;158.0;263.0;88;120
2020-04-20;173.0;291.0;92;214
